Usuario             ;Rodada ;Jogo ;Mandante ;Visitante
jmarcellofurtado    ;    26;   01;    02;        01   
jmarcellofurtado    ;    26;   02;    02;        01   
jmarcellofurtado    ;    26;   03;    01;        01   
jmarcellofurtado    ;    26;   04;    02;        01   
jmarcellofurtado    ;    26;   05;    02;        01   
jmarcellofurtado    ;    26;   06;    01;        00   
jmarcellofurtado    ;    26;   07;    02;        01   
jmarcellofurtado    ;    26;   08;    01;        01   
jmarcellofurtado    ;    26;   09;    02;        01   
jmarcellofurtado    ;    26;   10;    02;        01   
julianobarra        ;    26;   01;    00;        00   
julianobarra        ;    26;   02;    00;        00   
julianobarra        ;    26;   03;    00;        00   
julianobarra        ;    26;   04;    00;        00   
julianobarra        ;    26;   05;    00;        00   
julianobarra        ;    26;   06;    00;        00   
julianobarra        ;    26;   07;    00;        00   
julianobarra        ;    26;   08;    00;        00   
julianobarra        ;    26;   09;    00;        00   
julianobarra        ;    26;   10;    00;        00   
leo                 ;    26;   01;    00;        00   
leo                 ;    26;   02;    00;        00   
leo                 ;    26;   03;    00;        00   
leo                 ;    26;   04;    00;        00   
leo                 ;    26;   05;    00;        00   
leo                 ;    26;   06;    00;        00   
leo                 ;    26;   07;    00;        00   
leo                 ;    26;   08;    00;        00   
leo                 ;    26;   09;    00;        00   
leo                 ;    26;   10;    00;        00   
manzan              ;    26;   01;    02;        00   
manzan              ;    26;   02;    02;        00   
manzan              ;    26;   03;    01;        03   
manzan              ;    26;   04;    03;        01   
manzan              ;    26;   05;    02;        01   
manzan              ;    26;   06;    01;        03   
manzan              ;    26;   07;    01;        02   
manzan              ;    26;   08;    01;        00   
manzan              ;    26;   09;    00;        01   
manzan              ;    26;   10;    02;        01   
marcel              ;    26;   01;    00;        00   
marcel              ;    26;   02;    00;        00   
marcel              ;    26;   03;    00;        00   
marcel              ;    26;   04;    00;        00   
marcel              ;    26;   05;    00;        00   
marcel              ;    26;   06;    00;        00   
marcel              ;    26;   07;    00;        00   
marcel              ;    26;   08;    00;        00   
marcel              ;    26;   09;    00;        00   
marcel              ;    26;   10;    00;        00   
Matheus             ;    26;   01;    01;        02   
Matheus             ;    26;   02;    02;        01   
Matheus             ;    26;   03;    01;        02   
Matheus             ;    26;   04;    02;        01   
Matheus             ;    26;   05;    02;        01   
Matheus             ;    26;   06;    01;        02   
Matheus             ;    26;   07;    03;        01   
Matheus             ;    26;   08;    01;        02   
Matheus             ;    26;   09;    02;        01   
Matheus             ;    26;   10;    01;        01   
Minduba             ;    26;   01;    01;        02   
Minduba             ;    26;   02;    01;        01   
Minduba             ;    26;   03;    01;        02   
Minduba             ;    26;   04;    03;        01   
Minduba             ;    26;   05;    02;        01   
Minduba             ;    26;   06;    02;        02   
Minduba             ;    26;   07;    02;        01   
Minduba             ;    26;   08;    01;        02   
Minduba             ;    26;   09;    02;        02   
Minduba             ;    26;   10;    01;        01   
moliveira           ;    26;   01;    02;        01   
moliveira           ;    26;   02;    02;        01   
moliveira           ;    26;   03;    01;        02   
moliveira           ;    26;   04;    02;        00   
moliveira           ;    26;   05;    02;        01   
moliveira           ;    26;   06;    02;        01   
moliveira           ;    26;   07;    02;        01   
moliveira           ;    26;   08;    01;        01   
moliveira           ;    26;   09;    02;        01   
moliveira           ;    26;   10;    01;        01   
Patrick Galvão      ;    26;   01;    00;        00   
Patrick Galvão      ;    26;   02;    00;        00   
Patrick Galvão      ;    26;   03;    00;        00   
Patrick Galvão      ;    26;   04;    00;        00   
Patrick Galvão      ;    26;   05;    00;        00   
Patrick Galvão      ;    26;   06;    00;        00   
Patrick Galvão      ;    26;   07;    00;        00   
Patrick Galvão      ;    26;   08;    00;        00   
Patrick Galvão      ;    26;   09;    00;        00   
Patrick Galvão      ;    26;   10;    00;        00   
Paulo               ;    26;   01;    02;        01   
Paulo               ;    26;   02;    02;        01   
Paulo               ;    26;   03;    01;        02   
Paulo               ;    26;   04;    02;        01   
Paulo               ;    26;   05;    01;        02   
Paulo               ;    26;   06;    01;        01   
Paulo               ;    26;   07;    02;        01   
Paulo               ;    26;   08;    01;        02   
Paulo               ;    26;   09;    02;        01   
Paulo               ;    26;   10;    02;        01   
rander              ;    26;   01;    02;        01   
rander              ;    26;   02;    01;        01   
rander              ;    26;   03;    01;        02   
rander              ;    26;   04;    02;        01   
rander              ;    26;   05;    02;        01   
rander              ;    26;   06;    01;        01   
rander              ;    26;   07;    03;        01   
rander              ;    26;   08;    02;        01   
rander              ;    26;   09;    02;        01   
rander              ;    26;   10;    03;        01   
raoni13             ;    26;   01;    01;        00   
raoni13             ;    26;   02;    02;        00   
raoni13             ;    26;   03;    01;        02   
raoni13             ;    26;   04;    02;        00   
raoni13             ;    26;   05;    02;        00   
raoni13             ;    26;   06;    01;        00   
raoni13             ;    26;   07;    03;        01   
raoni13             ;    26;   08;    02;        01   
raoni13             ;    26;   09;    02;        01   
raoni13             ;    26;   10;    01;        00   
rlzenha             ;    26;   01;    02;        01   
rlzenha             ;    26;   02;    02;        00   
rlzenha             ;    26;   03;    01;        01   
rlzenha             ;    26;   04;    03;        01   
rlzenha             ;    26;   05;    02;        00   
rlzenha             ;    26;   06;    01;        02   
rlzenha             ;    26;   07;    03;        00   
rlzenha             ;    26;   08;    02;        01   
rlzenha             ;    26;   09;    02;        01   
